trans_date_trans_time,cc_num,merchant,category,amt,city
2020-06-24 23:06:34,180098888332620,"fraud_Mosciski, Ziemann and Farrell",shopping_net,902.3,Springville
2020-06-24 23:15:28,180098888332620,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,741.77,Springville
2020-06-24 23:20:06,3593118134380341,fraud_Terry-Huel,shopping_net,900.77,Steuben
2020-06-24 23:24:22,180098888332620,fraud_Pfeffer and Sons,shopping_pos,1047.3,Springville
2020-06-24 23:46:55,3593118134380341,fraud_Ruecker Group,misc_net,737.99,Steuben
2020-06-24 23:54:32,3593118134380341,fraud_Turcotte-Halvorson,misc_pos,49.18,Steuben
2020-06-25 18:16:26,3593118134380341,"fraud_Mosciski, Ziemann and Farrell",shopping_net,1046.97,Steuben
2020-06-25 22:24:27,3593118134380341,fraud_Miller-Harris,misc_net,850.82,Steuben
2020-06-25 23:01:19,3593118134380341,fraud_Goyette Inc,shopping_net,976.48,Steuben
2020-06-25 23:37:19,3593118134380341,fraud_Lemke and Sons,travel,4.64,Steuben
2020-06-25 23:48:37,180098888332620,"fraud_Bahringer, Osinski and Block",food_dining,95.52,Springville
2020-06-26 01:35:14,213161231269724,"fraud_Osinski, Ledner and Leuschke",grocery_pos,297.2,Gadsden
2020-06-26 01:51:55,213161231269724,fraud_Kilback LLC,grocery_pos,315.72,Gadsden
2020-06-26 05:56:53,213161231269724,"fraud_Schaefer, Maggio and Daugherty",gas_transport,8.32,Gadsden
2020-06-26 09:31:33,6544734391390261,fraud_Kunze Inc,grocery_pos,309.04,Highland
2020-06-26 16:34:06,213161231269724,"fraud_Schiller, Blanda and Johnson",home,219.46,Gadsden
2020-06-26 22:08:07,213161231269724,"fraud_Herman, Treutel and Dickens",misc_net,749.59,Gadsden
2020-06-26 22:20:01,213161231269724,fraud_Heathcote LLC,shopping_net,1129.53,Gadsden
2020-06-26 22:55:04,213161231269724,fraud_Volkman Ltd,misc_net,844.29,Gadsden
2020-06-26 23:18:46,6544734391390261,fraud_Schumm PLC,shopping_net,949.88,Highland
2020-06-26 23:37:45,6544734391390261,fraud_Boyer PLC,shopping_net,935.06,Highland
2020-06-26 23:38:10,6544734391390261,fraud_Kerluke-Abshire,shopping_net,1025.61,Highland
2020-06-27 00:42:18,3573386445588324,"fraud_Stroman, Hudson and Erdman",gas_transport,18.25,Barnard
2020-06-27 01:14:25,6544734391390261,fraud_Koss and Sons,gas_transport,11.82,Highland
2020-06-27 02:06:49,6544734391390261,"fraud_Tillman, Fritsch and Schmitt",misc_net,764.71,Highland
2020-06-27 03:48:35,6544734391390261,fraud_Hackett-Lueilwitz,grocery_pos,294.78,Highland
2020-06-27 16:14:03,6544734391390261,fraud_Schumm PLC,shopping_net,917.11,Highland
2020-06-27 19:47:59,3573386445588324,fraud_Volkman Ltd,misc_net,667.17,Barnard
2020-06-27 22:23:08,6544734391390261,fraud_Mosciski Group,travel,9.99,Highland
2020-06-27 22:39:07,3573386445588324,fraud_Zboncak LLC,food_dining,135.82,Barnard
2020-06-27 22:55:13,3573386445588324,fraud_Spencer PLC,entertainment,614.72,Barnard
2020-06-27 23:04:11,213161231269724,"fraud_Towne, Greenholt and Koepp",shopping_net,996.41,Gadsden
2020-06-27 23:07:02,213161231269724,fraud_Medhurst PLC,shopping_net,895.25,Gadsden
2020-06-27 23:26:42,213161231269724,fraud_Bashirian Group,shopping_net,1134.41,Gadsden
2020-06-28 02:01:49,3581130339108561,fraud_Heidenreich PLC,grocery_pos,314.28,Akron
2020-06-28 03:23:52,3573386445588324,"fraud_Schumm, Bauch and Ondricka",grocery_pos,319.53,Barnard
2020-06-28 06:58:06,3581130339108561,"fraud_Schultz, Simonis and Little",grocery_pos,241.45,Akron
2020-06-28 22:12:08,3581130339108561,"fraud_Labadie, Treutel and Bode",shopping_net,1159.89,Akron
2020-06-28 22:21:29,3573386445588324,fraud_Gerlach Inc,shopping_net,1051.14,Barnard
2020-06-28 23:24:26,3581130339108561,fraud_Fisher-Schowalter,shopping_net,1142.66,Akron
2020-06-28 23:28:24,3573386445588324,fraud_Miller-Harris,misc_net,777.75,Barnard
2020-06-28 23:48:51,3581130339108561,"fraud_Heathcote, Yost and Kertzmann",shopping_net,1197.26,Akron
2020-06-29 00:15:24,571844099986,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,307.26,Louisville
2020-06-29 01:17:03,4761403817546679245,fraud_Lemke-Gutmann,shopping_net,969.7,Viola
2020-06-29 01:29:03,3581130339108561,"fraud_Goldner, Kovacek and Abbott",grocery_pos,314.73,Akron
2020-06-29 02:10:13,4761403817546679245,fraud_Auer-Mosciski,grocery_pos,347.63,Viola
2020-06-29 02:23:28,3528231451607350,"fraud_Schultz, Simonis and Little",grocery_pos,342.87,Heislerville
2020-06-29 02:44:41,571844099986,fraud_Kunze Inc,grocery_pos,291.15,Louisville
2020-06-29 03:32:01,3528231451607350,"fraud_Schultz, Simonis and Little",grocery_pos,326.49,Heislerville
2020-06-29 06:55:59,4761403817546679245,fraud_Gleason-Macejkovic,shopping_net,1071.19,Viola
2020-06-29 08:16:40,571844099986,"fraud_Osinski, Ledner and Leuschke",grocery_pos,344.74,Louisville
2020-06-29 17:44:27,571844099986,fraud_Wilkinson Ltd,entertainment,443.97,Louisville
2020-06-29 22:10:42,3528231451607350,fraud_Dooley Inc,shopping_pos,854.92,Heislerville
2020-06-29 22:35:58,4761403817546679245,"fraud_Schiller, Blanda and Johnson",home,342.36,Viola
2020-06-29 22:43:27,3528231451607350,fraud_Lockman Ltd,grocery_pos,320.36,Heislerville
2020-06-29 23:10:14,4761403817546679245,fraud_Monahan-Morar,personal_care,21.88,Viola
2020-06-29 23:16:13,30551643947183,fraud_Ankunding-Carroll,travel,8.85,Grover
2020-06-29 23:28:28,571844099986,fraud_Sawayn PLC,shopping_pos,888.56,Louisville
2020-06-29 23:38:00,4761403817546679245,fraud_Pacocha-Weissnat,kids_pets,20.53,Viola
2020-06-29 23:40:46,571844099986,fraud_Jaskolski-Vandervort,misc_net,878.42,Louisville
2020-06-29 23:52:03,4761403817546679245,fraud_Osinski Inc,personal_care,22.91,Viola
2020-06-29 23:55:16,3581130339108561,"fraud_Gottlieb, Considine and Schultz",shopping_net,1004.99,Akron
2020-06-29 23:55:18,3581130339108561,fraud_Brown PLC,misc_net,793.07,Akron
2020-06-29 23:56:05,3581130339108561,fraud_Jewess LLC,shopping_pos,1013.85,Akron
2020-06-30 00:03:56,3586008444788268,fraud_Schmitt Inc,gas_transport,9.78,Issaquah
2020-06-30 00:16:08,571844099986,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,302.75,Louisville
2020-06-30 00:24:48,3528231451607350,fraud_Bins-Rice,gas_transport,18.82,Heislerville
2020-06-30 00:27:19,571844099986,fraud_Bogisich Inc,grocery_pos,315.39,Louisville
2020-06-30 01:25:08,3586008444788268,fraud_Fisher Inc,shopping_net,1020.48,Issaquah
2020-06-30 01:32:44,4761403817546679245,fraud_Kerluke PLC,misc_net,795.07,Viola
2020-06-30 01:40:26,4761403817546679245,"fraud_Langworth, Boehm and Gulgowski",shopping_net,829.4,Viola
2020-06-30 02:02:32,30551643947183,"fraud_Kovacek, Dibbert and Ondricka",grocery_pos,319.23,Grover
2020-06-30 02:11:22,3586008444788268,fraud_Ledner-Pfannerstill,gas_transport,8.06,Issaquah
2020-06-30 02:16:22,30551643947183,fraud_Sawayn PLC,shopping_pos,772.65,Grover
2020-06-30 02:36:40,4761403817546679245,fraud_Miller-Hauck,grocery_pos,353.35,Viola
2020-06-30 02:59:45,3586008444788268,fraud_Kiehn Inc,grocery_pos,348.48,Issaquah
2020-06-30 03:06:29,3528231451607350,fraud_DuBuque LLC,grocery_pos,320.73,Heislerville
2020-06-30 03:13:30,3586008444788268,"fraud_Goyette, Howell and Collier",shopping_pos,826.27,Issaquah
2020-06-30 03:16:01,3586008444788268,fraud_Wilkinson Ltd,entertainment,483.28,Issaquah
2020-06-30 03:21:07,30551643947183,fraud_Fisher-Schowalter,shopping_net,1071.12,Grover
2020-06-30 03:27:49,3528231451607350,fraud_Kuhic Inc,grocery_pos,307.33,Heislerville
2020-06-30 03:49:23,3528231451607350,fraud_Doyle Ltd,grocery_pos,347.88,Heislerville
2020-06-30 03:59:50,3586008444788268,"fraud_Effertz, Welch and Schowalter",entertainment,520.02,Issaquah
2020-06-30 04:41:27,30551643947183,fraud_Herzog Ltd,misc_pos,8.13,Grover
2020-06-30 05:05:00,4761403817546679245,fraud_Huel-Langworth,misc_net,778.42,Viola
2020-06-30 10:04:00,4761403817546679245,fraud_Boyer-Reichert,shopping_net,989.92,Viola
2020-06-30 12:27:14,571844099986,"fraud_Kuhic, Bins and Pfeffer",shopping_net,1143.96,Louisville
2020-06-30 16:42:15,3586008444788268,fraud_Schaefer Ltd,kids_pets,19.68,Issaquah
2020-06-30 19:16:07,3528231451607350,fraud_Gutmann-Upton,misc_pos,50.07,Heislerville
2020-06-30 21:38:41,3528231451607350,"fraud_Kihn, Abernathy and Douglas",shopping_net,1123.95,Heislerville
2020-06-30 22:02:57,3528231451607350,fraud_McGlynn-Heathcote,misc_net,830.06,Heislerville
2020-06-30 22:18:16,3586008444788268,"fraud_Mueller, Gerhold and Mueller",health_fitness,23.36,Issaquah
2020-06-30 22:32:25,4761403817546679245,fraud_Hilpert-Conroy,kids_pets,18.85,Viola
2020-06-30 22:43:00,30551643947183,fraud_Ziemann-Waters,health_fitness,18.4,Grover
2020-06-30 23:04:32,571844099986,"fraud_Gottlieb, Considine and Schultz",shopping_net,993.55,Louisville
2020-06-30 23:16:18,3528231451607350,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,970.38,Heislerville
2020-06-30 23:16:28,3528231451607350,"fraud_Kerluke, Kertzmann and Wiza",misc_net,809.53,Heislerville
2020-06-30 23:16:40,571844099986,"fraud_Haley, Jewess and Bechtelar",shopping_pos,917.97,Louisville
2020-06-30 23:21:21,4761403817546679245,fraud_Jakubowski Inc,home,277.68,Viola
2020-06-30 23:45:52,3528231451607350,"fraud_Huel, Hammes and Witting",grocery_pos,359.26,Heislerville
2020-06-30 23:46:30,3528231451607350,fraud_Torphy-Goyette,shopping_pos,727.32,Heislerville
2020-06-30 23:48:35,571844099986,"fraud_Huel, Hammes and Witting",grocery_pos,284.94,Louisville
2020-07-01 03:52:51,3586008444788268,fraud_Bashirian Group,shopping_net,1001.99,Issaquah
2020-07-01 15:21:14,3586008444788268,"fraud_Bahringer, Bergnaum and Quitzon",home,232.25,Issaquah
2020-07-01 22:51:21,6011893664860915,fraud_Zulauf LLC,personal_care,17.71,Littleton
2020-07-02 04:12:43,6011893664860915,"fraud_Koss, McLaughlin and Mayer",food_dining,132.33,Littleton
2020-07-02 23:17:05,3540416671210051,fraud_Balistreri-Nader,misc_pos,9.03,Rice
2020-07-03 00:18:13,3540416671210051,"fraud_Casper, Hand and Zulauf",grocery_pos,286.73,Rice
2020-07-03 00:41:07,3589255887819806,"fraud_Moen, Reinger and Murphy",grocery_pos,278.04,Hancock
2020-07-03 01:52:30,3589255887819806,fraud_Kuvalis Ltd,gas_transport,6.99,Hancock
2020-07-03 02:07:47,3540416671210051,"fraud_Schumm, Bauch and Ondricka",grocery_pos,262.49,Rice
2020-07-03 09:35:53,3589255887819806,"fraud_Schumm, Bauch and Ondricka",grocery_pos,305.34,Hancock
2020-07-03 22:19:41,3589255887819806,"fraud_Nienow, Ankunding and Collier",misc_pos,6.67,Hancock
2020-07-03 22:31:00,3540416671210051,"fraud_Schmeler, Bashirian and Price",shopping_net,1115.94,Rice
2020-07-03 22:44:10,3589255887819806,fraud_McGlynn-Heathcote,misc_net,693.71,Hancock
2020-07-03 22:56:41,3540416671210051,fraud_Bednar Inc,travel,10.32,Rice
2020-07-03 23:07:22,3589255887819806,"fraud_Langworth, Boehm and Gulgowski",shopping_net,991.33,Hancock
2020-07-03 23:13:05,3540416671210051,fraud_Kuphal-Bartoletti,misc_net,912.89,Rice
2020-07-03 23:17:06,3540416671210051,fraud_Kozey-McDermott,travel,11.83,Rice
2020-07-03 23:22:20,3540416671210051,fraud_Gleason-Macejkovic,shopping_net,1061.91,Rice
2020-07-03 23:43:45,3589255887819806,fraud_Gerlach Inc,shopping_net,840.53,Hancock
2020-07-04 01:26:48,3589255887819806,fraud_Doyle Ltd,grocery_pos,291.0,Hancock
2020-07-04 01:30:56,3589255887819806,fraud_Bednar Group,misc_net,685.26,Hancock
2020-07-04 03:17:41,4989847570577635369,fraud_Kiehn Inc,grocery_pos,352.15,Prosperity
2020-07-04 03:30:13,4989847570577635369,fraud_Macejkovic-Lesch,shopping_pos,627.43,Prosperity
2020-07-04 04:42:16,4989847570577635369,fraud_Wilkinson Ltd,entertainment,572.32,Prosperity
2020-07-04 10:28:50,4989847570577635369,fraud_Cole PLC,grocery_pos,349.74,Prosperity
2020-07-04 22:35:47,3589255887819806,fraud_Hills-Witting,shopping_net,874.99,Hancock
2020-07-04 23:44:03,3589255887819806,fraud_Schmitt Ltd,misc_net,709.43,Hancock
2020-07-04 23:45:01,3589255887819806,fraud_Gislason Group,misc_pos,7.6,Hancock
2020-07-05 00:18:33,4462038234743679432,"fraud_Casper, Hand and Zulauf",grocery_pos,343.75,Dell City
2020-07-05 01:22:56,4989847570577635369,fraud_Kuphal-Bartoletti,misc_net,875.02,Prosperity
2020-07-05 01:46:18,4989847570577635369,fraud_Bradtke PLC,grocery_pos,338.47,Prosperity
2020-07-05 02:44:58,4989847570577635369,fraud_Will Ltd,food_dining,136.93,Prosperity
2020-07-05 03:15:53,4462038234743679432,"fraud_Harris, Gusikowski and Heaney",grocery_net,13.13,Dell City
2020-07-05 03:42:14,4989847570577635369,fraud_Connelly PLC,food_dining,115.28,Prosperity
2020-07-05 03:50:28,4989847570577635369,fraud_Wilkinson Ltd,entertainment,520.74,Prosperity
2020-07-05 17:04:01,4989847570577635369,"fraud_McDermott, Osinski and Morar",home,252.48,Prosperity
2020-07-05 22:13:31,4989847570577635369,fraud_Kozey-Kuhlman,personal_care,21.11,Prosperity
2020-07-05 22:29:31,4462038234743679432,fraud_Roberts-Beahan,misc_pos,51.79,Dell City
2020-07-05 22:49:40,4989847570577635369,fraud_Cartwright PLC,kids_pets,19.44,Prosperity
2020-07-05 23:14:28,4989847570577635369,"fraud_Streich, Rolfson and Wilderman",kids_pets,17.05,Prosperity
2020-07-05 23:27:39,4989847570577635369,fraud_Carroll PLC,health_fitness,17.0,Prosperity
2020-07-05 23:33:17,4989847570577635369,fraud_Ziemann-Waters,health_fitness,19.05,Prosperity
2020-07-06 00:44:35,4462038234743679432,fraud_Lockman Ltd,grocery_pos,315.89,Dell City
2020-07-06 01:01:59,30197398657930,fraud_Jast Ltd,shopping_net,794.77,Creedmoor
2020-07-06 01:07:20,30197398657930,fraud_Gibson-Deckow,entertainment,576.52,Creedmoor
2020-07-06 01:13:28,30197398657930,"fraud_Swaniawski, Lowe and Robel",shopping_pos,881.1,Creedmoor
2020-07-06 02:47:51,4462038234743679432,fraud_Bahringer-Larson,grocery_net,15.85,Dell City
2020-07-06 02:51:13,4462038234743679432,fraud_Bradtke PLC,grocery_pos,341.91,Dell City
2020-07-06 03:29:11,4462038234743679432,"fraud_Tillman, Dickinson and Labadie",gas_transport,23.11,Dell City
2020-07-06 03:47:08,4462038234743679432,fraud_Collier Inc,grocery_net,10.84,Dell City
2020-07-06 03:51:56,30197398657930,"fraud_Bins, Balistreri and Beatty",shopping_pos,835.42,Creedmoor
2020-07-06 19:11:56,4462038234743679432,fraud_Kerluke Inc,misc_net,913.39,Dell City
2020-07-06 22:08:55,30197398657930,fraud_Bode-Schuster,kids_pets,23.1,Creedmoor
2020-07-06 22:21:31,30197398657930,fraud_Berge-Ullrich,home,249.28,Creedmoor
2020-07-06 22:33:04,30197398657930,fraud_Gaylord-Powlowski,home,217.73,Creedmoor
2020-07-06 22:44:38,4462038234743679432,fraud_Boyer-Reichert,shopping_net,887.24,Dell City
2020-07-06 23:15:29,30197398657930,fraud_Eichmann-Kilback,home,198.97,Creedmoor
2020-07-06 23:48:11,30197398657930,"fraud_Kling, Howe and Schneider",home,259.8,Creedmoor
2020-07-07 00:58:49,4713464490314802,fraud_Cole PLC,grocery_pos,274.81,Mc Intosh
2020-07-07 02:12:52,4713464490314802,fraud_Wolf Inc,grocery_pos,312.58,Mc Intosh
2020-07-07 03:34:47,4713464490314802,fraud_Cartwright-Harris,grocery_pos,299.28,Mc Intosh
2020-07-07 03:47:13,30197398657930,"fraud_Moen, Reinger and Murphy",grocery_pos,346.42,Creedmoor
2020-07-07 09:49:26,30197398657930,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,1041.39,Creedmoor
2020-07-07 14:14:05,30197398657930,fraud_Romaguera and Sons,travel,7.9,Creedmoor
2020-07-07 18:19:10,4713464490314802,fraud_Stoltenberg-Beatty,shopping_pos,892.88,Mc Intosh
2020-07-07 22:35:15,4713464490314802,fraud_Bashirian Group,shopping_net,1008.78,Mc Intosh
2020-07-08 02:05:41,503851367360,fraud_Doyle Ltd,grocery_pos,331.18,Grifton
2020-07-08 02:51:09,4713464490314802,fraud_O'Keefe-Hudson,grocery_pos,309.7,Mc Intosh
2020-07-08 11:05:54,4713464490314802,fraud_Pacocha-O'Reilly,grocery_pos,288.84,Mc Intosh
2020-07-08 12:15:23,4713464490314802,fraud_Bauch-Raynor,grocery_pos,279.11,Mc Intosh
2020-07-08 22:30:04,503851367360,fraud_Lynch Ltd,shopping_pos,915.47,Grifton
2020-07-08 22:35:20,4713464490314802,fraud_Goyette Inc,shopping_net,1083.38,Mc Intosh
2020-07-08 22:44:21,503851367360,fraud_Bashirian Group,shopping_net,913.98,Grifton
2020-07-08 23:11:56,503851367360,fraud_Wiza LLC,misc_pos,7.97,Grifton
2020-07-08 23:24:56,4713464490314802,"fraud_Rodriguez, Yost and Jenkins",misc_net,667.98,Mc Intosh
2020-07-08 23:47:48,4713464490314802,"fraud_Kihn, Abernathy and Douglas",shopping_net,1002.25,Mc Intosh
2020-07-09 00:02:54,503851367360,fraud_Cummerata-Jones,gas_transport,10.77,Grifton
2020-07-09 00:52:11,503851367360,fraud_Hintz-Bruen,grocery_net,7.11,Grifton
2020-07-09 01:53:48,503851367360,fraud_Bauch-Raynor,grocery_pos,311.42,Grifton
2020-07-09 18:49:23,503851367360,"fraud_Swaniawski, Lowe and Robel",shopping_pos,952.8,Grifton
2020-07-09 22:30:55,503851367360,fraud_Pouros-Haag,shopping_pos,999.59,Grifton
2020-07-09 23:59:54,503851367360,fraud_Cartwright-Harris,grocery_pos,279.28,Grifton
2020-07-10 15:57:47,675961917837,fraud_Torphy-Goyette,shopping_pos,732.17,Sprague
2020-07-10 20:38:35,675961917837,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,837.54,Sprague
2020-07-10 22:42:44,675961917837,fraud_Koepp-Parker,grocery_pos,333.89,Sprague
2020-07-10 22:50:19,6011399591920186,"fraud_Roberts, Daniel and Macejkovic",kids_pets,19.05,Sheffield
2020-07-10 23:09:59,6011399591920186,"fraud_Schneider, Hayes and Nikolaus",food_dining,149.42,Sheffield
2020-07-10 23:19:01,675961917837,fraud_McGlynn-Jaskolski,misc_pos,51.07,Sprague
2020-07-10 23:26:13,675961917837,fraud_Pouros-Haag,shopping_pos,951.91,Sprague
2020-07-10 23:46:17,6011399591920186,fraud_Lynch-Mohr,travel,8.41,Sheffield
2020-07-10 23:59:14,6011399591920186,"fraud_Schoen, Nienow and Bauch",personal_care,17.77,Sheffield
2020-07-11 00:52:17,38544312728630,"fraud_Rowe, Batz and Goodwin",grocery_pos,347.28,Bonita Springs
2020-07-11 01:33:31,6011399591920186,fraud_Bogisich Inc,grocery_pos,378.56,Sheffield
2020-07-11 01:43:56,675961917837,"fraud_Schumm, Bauch and Ondricka",grocery_pos,309.97,Sprague
2020-07-11 02:22:39,38544312728630,fraud_Fisher Inc,shopping_net,1129.96,Bonita Springs
2020-07-11 03:15:16,6011399591920186,fraud_Gutmann Ltd,grocery_net,8.96,Sheffield
2020-07-11 03:16:53,6011399591920186,fraud_O'Keefe-Hudson,grocery_pos,369.18,Sheffield
2020-07-11 03:22:29,6011399591920186,fraud_Dickinson-Rempel,misc_pos,629.85,Sheffield
2020-07-11 03:29:00,675961917837,"fraud_Bernier, Streich and Jewess",grocery_net,19.92,Sprague
2020-07-11 03:37:28,6011399591920186,"fraud_Stehr, Jewess and Schimmel",misc_net,748.43,Sheffield
2020-07-11 03:58:59,38544312728630,fraud_Friesen Inc,shopping_pos,730.65,Bonita Springs
2020-07-11 22:01:07,675961917837,fraud_Auer-West,shopping_net,979.0,Sprague
2020-07-11 22:01:22,501882822387,"fraud_Lehner, Reichert and Mills",misc_pos,8.08,Meadville
2020-07-11 22:12:40,501882822387,fraud_Doyle Ltd,grocery_pos,278.9,Meadville
2020-07-11 22:22:15,675961917837,fraud_Terry-Huel,shopping_net,1133.22,Sprague
2020-07-11 23:06:29,501882822387,fraud_Block-Parisian,misc_net,741.45,Meadville
2020-07-11 23:27:48,501882822387,"fraud_Reichert, Huels and Hoppe",shopping_net,1166.0,Meadville
2020-07-11 23:37:59,675961917837,"fraud_Schmeler, Bashirian and Price",shopping_net,953.63,Sprague
2020-07-11 23:42:46,675961917837,fraud_O'Keefe-Wisoky,food_dining,123.61,Sprague
2020-07-11 23:42:56,675961917837,"fraud_Heathcote, Yost and Kertzmann",shopping_net,1037.75,Sprague
2020-07-11 23:57:24,675961917837,fraud_Heathcote LLC,shopping_net,882.13,Sprague
2020-07-12 01:18:57,3540075240003197,"fraud_Rowe, Batz and Goodwin",grocery_pos,304.0,Lonsdale
2020-07-12 01:33:09,3540075240003197,"fraud_Parisian, Schiller and Altenwerth",misc_net,814.9,Lonsdale
2020-07-12 01:43:23,501882822387,fraud_Schamberger-O'Keefe,grocery_pos,278.32,Meadville
2020-07-12 02:38:24,501882822387,"fraud_Jenkins, Hauck and Friesen",gas_transport,5.62,Meadville
2020-07-12 03:05:43,3514897282719543,fraud_Strosin-Cruickshank,grocery_pos,306.32,Farmington
2020-07-12 03:47:00,501882822387,fraud_Hudson-Ratke,grocery_pos,296.17,Meadville
2020-07-12 06:27:56,501882822387,fraud_Jaskolski-Dibbert,grocery_net,8.88,Meadville
2020-07-12 12:28:46,501882822387,"fraud_Gottlieb, Considine and Schultz",shopping_net,959.71,Meadville
2020-07-12 14:45:32,3540075240003197,fraud_Klocko LLC,misc_net,730.44,Lonsdale
2020-07-12 15:46:54,3514897282719543,"fraud_Weimann, Kuhic and Beahan",shopping_pos,1100.78,Farmington
2020-07-12 22:07:55,501882822387,"fraud_Baumbach, Feeney and Morar",shopping_net,1045.16,Meadville
2020-07-12 22:42:52,3540075240003197,"fraud_Mosciski, Ziemann and Farrell",shopping_net,985.9,Lonsdale
2020-07-12 22:43:52,501882822387,fraud_Kerluke-Abshire,shopping_net,1112.33,Meadville
2020-07-12 22:53:57,501882822387,fraud_Beier-Hyatt,shopping_pos,906.83,Meadville
2020-07-12 23:12:38,3514897282719543,"fraud_Quitzon, Green and Bashirian",shopping_pos,915.25,Farmington
2020-07-12 23:20:17,3540075240003197,"fraud_Greenholt, O'Hara and Balistreri",shopping_net,852.76,Lonsdale
2020-07-12 23:21:50,3540075240003197,fraud_Kilback LLC,food_dining,102.42,Lonsdale
2020-07-12 23:40:57,3514897282719543,fraud_Stamm-Witting,shopping_net,1111.35,Farmington
2020-07-12 23:42:17,3514897282719543,fraud_Denesik and Sons,shopping_pos,965.25,Farmington
2020-07-12 23:46:59,676314217768,fraud_Gaylord-Powlowski,home,260.44,Odessa
2020-07-12 23:48:55,3514897282719543,"fraud_Gottlieb, Considine and Schultz",shopping_net,1031.9,Farmington
2020-07-13 01:17:37,3514897282719543,fraud_Heller-Langosh,gas_transport,6.39,Farmington
2020-07-13 02:28:36,676314217768,fraud_Reichel Inc,entertainment,536.63,Odessa
2020-07-13 16:19:29,3514897282719543,"fraud_Hartmann, Rowe and Hermann",travel,9.0,Farmington
2020-07-13 22:30:05,3540075240003197,fraud_Sawayn PLC,shopping_pos,824.17,Lonsdale
2020-07-13 22:48:07,3540075240003197,"fraud_Quitzon, Green and Bashirian",shopping_pos,984.39,Lonsdale
2020-07-13 22:52:38,676314217768,"fraud_Hyatt, Russel and Gleichner",health_fitness,18.35,Odessa
2020-07-13 23:45:32,3540075240003197,fraud_Botsford Ltd,shopping_pos,626.99,Lonsdale
